work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
"WS/MP18278/2024-2025/137688-Construction of roads, link roads, pathways or any other road with or without drainage system",19-Nov-2024,999710.0,True,Images
WS/MP18250/2024-2025/135268-Installing tube-wells and borewells,04-Oct-2024,3491230.0,True,Images
WS/MP761/2024-2025/144975-Construction of boundary walls of existing public and community buildings,04-Oct-2024,400000.0,False,nan
WS/MP761/2024-2025/144916-Providing drains and gutters for public drainage,04-Oct-2024,495000.0,False,nan
"WS/MP18074/2024-2025/138467-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,400000.0,False,nan
"WS/MP18074/2024-2025/138474-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138471-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138469-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138477-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/140257-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,900000.0,False,nan
"WS/MP18074/2024-2025/138478-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138476-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138465-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138479-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,500000.0,False,nan
"WS/MP18074/2024-2025/138470-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP18074/2024-2025/138473-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,700000.0,False,nan
"WS/MP18074/2024-2025/138475-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,500000.0,False,nan
"WS/MP18074/2024-2025/138468-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,400000.0,False,nan
"WS/MP18074/2024-2025/140256-Construction of roads, link roads, pathways or any other road with or without drainage system",18-May-2025,600000.0,False,nan
"WS/MP393/2024-2025/144135-Construction of roads, link roads, pathways or any other road with or without drainage system",07-Oct-2024,499315.0,True,Images
"WS/MP18074/2024-2025/137035-Construction of roads, link roads, pathways or any other road with or without drainage system",21-Nov-2025,400000.0,True,Images
"WS/MP18336/2024-2025/135508-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Sep-2025,1000000.0,True,Images
WS/MP761/2024-2025/144996-Construction of common work sheds/ common covered sitting area,07-Oct-2024,363244.0,False,nan
"WS/MP18321/2024-2025/140088-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",03-Jul-2025,1296000.0,True,Images
"WS/MP18074/2024-2025/138720-Construction of roads, link roads, pathways or any other road with or without drainage system",20-Jul-2025,535000.0,False,nan
"WS/MP18074/2024-2025/138718-Construction of roads, link roads, pathways or any other road with or without drainage system",20-Jul-2025,542000.0,False,nan
"WS/MP18074/2024-2025/138713-Construction of roads, link roads, pathways or any other road with or without drainage system",20-Jul-2025,832000.0,False,nan
"WS/MP18074/2024-2025/138714-Construction of roads, link roads, pathways or any other road with or without drainage system",20-Jul-2025,359000.0,False,nan
WS/MP18074/2024-2025/138715-Providing drains and gutters for public drainage,20-Jul-2025,783000.0,False,nan
"WS/MP18074/2024-2025/138717-Construction of roads, link roads, pathways or any other road with or without drainage system",20-Jul-2025,649000.0,False,nan
WS/MP761/2024-2025/144940-Construction of boundary walls of existing public and community buildings,07-Oct-2024,299998.0,False,nan
"WS/MP18278/2024-2025/142726-Construction of roads, link roads, pathways or any other road with or without drainage system",03-Jun-2025,600000.0,True,Images
"WS/MP761/2024-2025/144936-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Oct-2024,482222.0,False,nan
WS/MP761/2024-2025/144976-Construction of community centers and community halls,08-Oct-2024,400000.0,False,nan
WS/MP761/2024-2025/144990-Construction of community centers and community halls,08-Oct-2024,399322.0,False,nan
WS/MP761/2024-2025/144991-Construction of community centers and community halls,08-Oct-2024,397374.0,False,nan
WS/MP761/2024-2025/145015-Construction of community centers and community halls,08-Oct-2024,398575.0,False,nan
WS/MP761/2024-2025/144987-Construction of community centers and community halls,08-Oct-2024,397481.0,False,nan
WS/MP761/2024-2025/144978-Construction of community centers and community halls,08-Oct-2024,300000.0,False,nan
WS/MP761/2024-2025/144935-Construction of boundary walls of existing public and community buildings,08-Oct-2024,495000.0,False,nan
