constituency_id,name,state,mp_id
C_MAHARA_OSMANABAD,OSMANABAD,Maharashtra,MP_2F67B494
C_MAHARA_YAVATMAL_WASHIM,YAVATMAL-WASHIM,Maharashtra,MP_C2FCB5CC
C_PUNJAB_BHATINDA,BHATINDA,Punjab,MP_34CA3D57
C_MADHYA_SAGAR,SAGAR,Madhya Pradesh,MP_1EDFF9C7
C_KERALA_ALAPPUZHA,ALAPPUZHA,Kerala,MP_444DA9BC
C_WEST_B_ULUBERIA,ULUBERIA,West Bengal,MP_28FD16EE
C_UTTAR__MUZAFFARNAGAR,MUZAFFARNAGAR,Uttar Pradesh,MP_CF762F8D
C_RAJAST_UDAIPUR_ST,UDAIPUR(ST),Rajasthan,MP_08C643EF
C_MADHYA_DAMOH,DAMOH,Madhya Pradesh,MP_FEFFAB4A
C_ASSAM_LAKHIMPUR,LAKHIMPUR,Assam,MP_9D822817
C_BIHAR_SUPAUL,SUPAUL,Bihar,MP_E21F7368
C_TAMIL__DINDIGUL,DINDIGUL,Tamil Nadu,MP_55D4A277
C_GUJARA_SABARKANTHA,SABARKANTHA,Gujarat,MP_1D2E9971
C_CHHATT_MAHASAMUND,MAHASAMUND,Chhattisgarh,MP_2C899560
C_MAHARA_RAVER,RAVER,Maharashtra,MP_54470E76
C_UTTAR__MACHHLISHAHR_SC,MACHHLISHAHR(SC),Uttar Pradesh,MP_0004ADDB
C_RAJAST_AJMER,AJMER,Rajasthan,MP_750E5A00
C_ANDHRA_MACHILIPATNAM,MACHILIPATNAM,Andhra Pradesh,MP_C9382A0E
C_ODISHA_SUNDARGARH__ST,SUNDARGARH (ST),Odisha,MP_424F3708
C_KARNAT_BANGALORE_RURAL,BANGALORE RURAL,Karnataka,MP_686DAC86
C_BIHAR_GOPALGANJ__SC,GOPALGANJ (SC),Bihar,MP_406F5A03
C_NAGALA_NAGALAND,NAGALAND,Nagaland,MP_1F57A5D6
C_RAJAST_CHITTORGARH,CHITTORGARH,Rajasthan,MP_48D2ACDF
C_RAJAST_JAIPUR,JAIPUR,Rajasthan,MP_38AAAFBD
C_TAMIL__NILGIRIS_SC,NILGIRIS(SC),Tamil Nadu,MP_A6D8641A
C_RAJAST_BANSWARA_ST,BANSWARA(ST),Rajasthan,MP_4B739BFF
C_BIHAR_SASARAM_SC,SASARAM(SC),Bihar,MP_2828372C
C_TELANG_MEDAK,MEDAK,Telangana,MP_E4316D15
C_TAMIL__VILUPPURAM_SC,VILUPPURAM(SC),Tamil Nadu,MP_51712817
C_CHHATT_KORBA,KORBA,Chhattisgarh,MP_E6E4BBB1
C_TAMIL__THANJAVUR,THANJAVUR,Tamil Nadu,MP_B064A9FE
C_TAMIL__SIVAGANGA,SIVAGANGA,Tamil Nadu,MP_D2EB9F68
C_JHARKH_DUMKA_ST,DUMKA(ST),Jharkhand,MP_8619BFEA
C_UTTAR__JALAUN_SC,JALAUN(SC),Uttar Pradesh,MP_895C7151
C_UTTAR__SALEMPUR,SALEMPUR,Uttar Pradesh,MP_C6040E3F
C_UTTAR__AONLA,AONLA,Uttar Pradesh,MP_53F1E7B5
C_PUNJAB_SANGRUR,SANGRUR,Punjab,MP_6675EADB
C_WEST_B_BARASAT,BARASAT,West Bengal,MP_10566DCB
C_UTTAR__KANPUR,KANPUR,Uttar Pradesh,MP_057493CE
C_ASSAM_NOWGONG,NOWGONG,Assam,MP_CEDCE056
C_PUNJAB_HOSHIARPUR_SC,HOSHIARPUR(SC),Punjab,MP_ED4CA35D
C_GUJARA_RAJKOT,RAJKOT,Gujarat,MP_D4710DCB
C_BIHAR_BANKA,BANKA,Bihar,MP_E7F6DB49
C_WEST_B_TAMLUK,TAMLUK,West Bengal,MP_71684967
C_TAMIL__TIRUVALLUR_SC,TIRUVALLUR(SC),Tamil Nadu,MP_25854CC5
C_PUNJAB_PATIALA,PATIALA,Punjab,MP_5601060F
C_KERALA_KANNUR,KANNUR,Kerala,MP_CCEDA923
C_TAMIL__NAMAKKAL,NAMAKKAL,Tamil Nadu,MP_30F8FAF9
C_UTTAR__KAISERGANJ,KAISERGANJ,Uttar Pradesh,MP_D6664219
C_MAHARA_DHULE,DHULE,Maharashtra,MP_DE71FCCA
C_TAMIL__KANCHEEPURAM_SC,KANCHEEPURAM(SC),Tamil Nadu,MP_CA42FED2
C_MADHYA_MORENA,MORENA,Madhya Pradesh,MP_3BDE0B37
C_GUJARA_AHMEDABAD_EAST,AHMEDABAD EAST,Gujarat,MP_8DF918AE
C_KERALA_ALATHUR_SC,ALATHUR(SC),Kerala,MP_93EBFC2D
C_RAJAST_NAGAUR,NAGAUR,Rajasthan,MP_73274AD8
C_UTTAR__RAE_BARELI,RAE BARELI,Uttar Pradesh,MP_4FB2CD2A
C_UTTAR__FAIZABAD,FAIZABAD,Uttar Pradesh,MP_1BEA940E
C_UTTAR__NAGINA_SC,NAGINA(SC),Uttar Pradesh,MP_3F0BCFB7
C_BIHAR_PURNEA,PURNEA,Bihar,MP_71D87001
C_MADHYA_SHAHDOL__ST,SHAHDOL (ST),Madhya Pradesh,MP_87EA76CC
C_ASSAM_DHUBRI,DHUBRI,Assam,MP_A8899BBC
C_GUJARA_PATAN,PATAN,Gujarat,MP_36784831
C_UTTAR__MEERUT,MEERUT,Uttar Pradesh,MP_E249A7A7
C_MEGHAL_TURA,TURA,Meghalaya,MP_37F730A2
C_UTTAR__BHADOHI,BHADOHI,Uttar Pradesh,MP_39DF4965
C_KERALA_KASARAGOD,KASARAGOD,Kerala,MP_EEC31971
C_MIZORA_MIZORAM__ST,MIZORAM (ST),Mizoram,MP_15D9BE2F
C_MAHARA_MAVAL,MAVAL,Maharashtra,MP_018E0BA1
C_BIHAR_AURANGABAD_BR,AURANGABAD_BR,Bihar,MP_E9AA38D7
C_KARNAT_BANGALORE_CENTRA,BANGALORE CENTRAL,Karnataka,MP_FC4B6F9B
C_TAMIL__ARAKKONAM,ARAKKONAM,Tamil Nadu,MP_55A311EB
C_TAMIL__PERAMBALUR,PERAMBALUR,Tamil Nadu,MP_B9D4BA00
C_MAHARA_MUMBAI_NORTH,MUMBAI NORTH,Maharashtra,MP_0424C45B
C_UTTAR__KAUSHAMBI_SC,KAUSHAMBI(SC),Uttar Pradesh,MP_F5CAA71C
C_GOA_NORTH_GOA,NORTH GOA,Goa,MP_E63FC3D9
