transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_RA_001261,CW_RA_EXP_001261,WS/MP18347/2026-2027/272730,rajya_sabha,expenditure,1260,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197898.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001262,CW_RA_EXP_001262,WS/MP18347/2026-2027/272757,rajya_sabha,expenditure,1261,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,186401.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001263,CW_RA_EXP_001263,WS/MP18347/2026-2027/272731,rajya_sabha,expenditure,1262,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197898.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001264,CW_RA_EXP_001264,WS/MP18347/2026-2027/272732,rajya_sabha,expenditure,1263,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,198251.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001265,CW_RA_EXP_001265,WS/MP18347/2026-2027/272734,rajya_sabha,expenditure,1264,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,198084.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001266,CW_RA_EXP_001266,WS/MP18347/2026-2027/272735,rajya_sabha,expenditure,1265,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197976.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001267,CW_RA_EXP_001267,WS/MP18347/2026-2027/272726,rajya_sabha,expenditure,1266,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197780.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001268,CW_RA_EXP_001268,WS/MP141/2025-2026/261041,rajya_sabha,expenditure,1267,Sidhu And Sons Bko,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Payment Success,445000.0,,Punjab,,Harbhajan Singh (2022-28) (2022-2028)
TX_RA_001269,CW_RA_EXP_001269,WS/MP165/2026-2027/222495,rajya_sabha,expenditure,1268,Malliga Sathianathan,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Payment Success,999731.0,,Tamil Nadu,,P. Chidambaram (2022-28) (2022-2028)
TX_RA_001270,CW_RA_EXP_001270,WS/MP071/2025-2026/157666,rajya_sabha,expenditure,1269,S B Enterprises,TINSUKIA(DC Tinsukia),Payment Success,1835762.0,,Assam,,Pabitra Margherita (2022-28) (2022-2028)
TX_RA_001271,CW_RA_EXP_001271,WS/MP889/2025-2026/256658,rajya_sabha,expenditure,1270,Gram Panchayat Kungher,PATAN(DISTRICT COLLECTOR PATAN_IDA),Payment Success,500000.0,,Gujarat,,Babubhai Jesangbhai Desai (2023-29) (2023-2029)
TX_RA_001272,CW_RA_EXP_001272,WS/MP134/2025-2026/239327,rajya_sabha,expenditure,1271,Prolyx Microelectronics Private Limited,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Payment Success,370650.0,,Odisha,,Ashwini Vaishnaw (2024-30) (2024-2030)
TX_RA_001273,CW_RA_EXP_001273,WS/MP106/2025-2026/230397,rajya_sabha,expenditure,1272,Ansh Traders Ragadgaon,BETUL(DISTRICT COLLECTOR BETUL_IDA),Payment Success,56000.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
