alias_id,ida_id,original_name,normalized_name,confidence_score,verified
IDA_ALIAS_000671,IDA_000671,DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA),dhubrideputy commissioner dhubriida,1.0,True
IDA_ALIAS_000672,IDA_000672,NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4),nagapattinamdistrict collector nagapattinam4,1.0,True
IDA_ALIAS_000673,IDA_000673,DEBAGADA(DISTRICT COLLECTOR DEOGARH_IDA),debagadadistrict collector deogarhida,1.0,True
IDA_ALIAS_000674,IDA_000674,DAMAN(DISTRICT COLLECTOR DAMAN_IDA),damandistrict collector damanida,1.0,True
IDA_ALIAS_000675,IDA_000675,BALOD(COLLECTOR BALOD_IDA),balodcollector balodida,1.0,True
IDA_ALIAS_000676,IDA_000676,YADGIR(DEPUTY COMMSIONER YADGIR_IDA),yadgirdeputy commsioner yadgirida,1.0,True
IDA_ALIAS_000677,IDA_000677,BEMETARA(COLLECTOR BEMETARA_IDA),bemetaracollector bemetaraida,1.0,True
IDA_ALIAS_000678,IDA_000678,KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),kalaburagideputy commissioner gulbargaida,1.0,True
IDA_ALIAS_000679,IDA_000679,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),chandrapurdistrict collector chandrapurida,1.0,True
IDA_ALIAS_000680,IDA_000680,KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA),kamrupdeputy commissioner kamrupida,1.0,True
IDA_ALIAS_000681,IDA_000681,BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA),banswaradistrict collector banswaraida,1.0,True
IDA_ALIAS_000682,IDA_000682,BUNDI(DISTRICT COLLECTOR BUNDI_IDA),bundidistrict collector bundiida,1.0,True
IDA_ALIAS_000683,IDA_000683,BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA),balrampurdistrict magistrate balrampurida,1.0,True
IDA_ALIAS_000684,IDA_000684,NORTH AND MIDDLE ANDAMAN(IMPLEMENTING DISTRICT AUTHORITY(N&MA)),north and middle andamanimplementing district authoritynma,1.0,True
IDA_ALIAS_000685,IDA_000685,UNA(DEPUTY COMMISSIOENR UNA_IDA),unadeputy commissioenr unaida,1.0,True
IDA_ALIAS_000686,IDA_000686,SINGRAULI(DISTRICT COLLECTOR SINGRAULI_IDA),singraulidistrict collector singrauliida,1.0,True
IDA_ALIAS_000687,IDA_000687,"PITHORAGARH(NRLM , PITHORAGARH)",pithoragarhnrlm pithoragarh,1.0,True
IDA_ALIAS_000688,IDA_000688,BARA BANKI(DISTRICT MAGISTRATE BARABANKI_IDA),bara bankidistrict magistrate barabankiida,1.0,True
IDA_ALIAS_000689,IDA_000689,MANENDRAGARH-CHIRMIRI-BHARATPUR(M C B)(COLLECTOR MCB_IDA),manendragarhchirmiribharatpurm c bcollector mcbida,1.0,True
IDA_ALIAS_000690,IDA_000690,REWARI(DISTRICT COMMISSIONER REWARI),rewaridistrict commissioner rewari,1.0,True
IDA_ALIAS_000691,IDA_000691,ARIYALUR(DISTRICT COLLECTOR ARIYALUR_IDA),ariyalurdistrict collector ariyalurida,1.0,True
IDA_ALIAS_000692,IDA_000692,"UPPER SIANG(DISTRICT PLANNING OFFICER,YINGKIONG)",upper siangdistrict planning officeryingkiong,1.0,True
IDA_ALIAS_000693,IDA_000693,DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA),dimapurdeputy commissioner dimapurida,1.0,True
IDA_ALIAS_000694,IDA_000694,KISHTWAR(DEPUTY COMMISSIONER KISHTWAR_IDA),kishtwardeputy commissioner kishtwarida,1.0,True
IDA_ALIAS_000695,IDA_000695,LOWER DIBANG VALLEY(DEPUTY COMMISIONER LOWER DIBANG VALLEY_IDA),lower dibang valleydeputy commisioner lower dibang valleyida,1.0,True
IDA_ALIAS_000696,IDA_000696,KAMLE(DEPUTY COMMISIONER KAMLE_IDA),kamledeputy commisioner kamleida,1.0,True
IDA_ALIAS_000697,IDA_000697,TAMULPUR(IDA TAMULPUR),tamulpurida tamulpur,1.0,True
IDA_ALIAS_000698,IDA_000698,BALRAMPUR-RAMANUJGANJ(DISTRICT COLLECTOR BALRAMPUR_IDA),balrampurramanujganjdistrict collector balrampurida,1.0,True
IDA_ALIAS_000699,IDA_000699,KOLASIB(DEPUTY COMMISSIONER KOLASIB),kolasibdeputy commissioner kolasib,1.0,True
IDA_ALIAS_000700,IDA_000700,GANGTOK(DISTRICT COLLECTOR EAST DISTRICT_IDA),gangtokdistrict collector east districtida,1.0,True
IDA_ALIAS_000701,IDA_000701,MANGAN(DISTRICT COLLECTOR MANGAN_IDA),mangandistrict collector manganida,1.0,True
IDA_ALIAS_000702,IDA_000702,PEDDAPALLI(DISTRICT COLLECTOR PEDDAPALLY_IDA),peddapallidistrict collector peddapallyida,1.0,True
IDA_ALIAS_000703,IDA_000703,MANCHERIAL(DISTRICT COLLECTOR MANCHERIAL_IDA),mancherialdistrict collector mancherialida,1.0,True
IDA_ALIAS_000704,IDA_000704,MULUGU(DISTRICT COLLECTOR MULUGU_IDA),mulugudistrict collector muluguida,1.0,True
IDA_ALIAS_000705,IDA_000705,BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA),bageshwardistrict magistrate bageshwarida,1.0,True
IDA_ALIAS_000706,IDA_000706,IMPHAL WEST(DEPUTY COMMISSIONER IMPHAL WEST MPLADS_IDA),imphal westdeputy commissioner imphal west mpladsida,1.0,True
IDA_ALIAS_000707,IDA_000707,BARAN(DISTRICT COLLECTOR BARAN_IDA),barandistrict collector baranida,1.0,True
IDA_ALIAS_000708,IDA_000708,MOKOKCHUNG(DEPUTY COMMISSIONER MOKOKCHUNG_IDA),mokokchungdeputy commissioner mokokchungida,1.0,True
IDA_ALIAS_000709,IDA_000709,MON(DEPUTY COMMISSIONER MON_IDA),mondeputy commissioner monida,1.0,True
IDA_ALIAS_000710,IDA_000710,UKHRUL(DEPUTY COMMISSIONER UKHRUL_IDA),ukhruldeputy commissioner ukhrulida,1.0,True
IDA_ALIAS_000711,IDA_000711,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),buldhanadistrict collector buldhanaida,1.0,True
IDA_ALIAS_000712,IDA_000712,SHOPIAN(DEPUTY COMMISSIONER SHOPIAN_IDA),shopiandeputy commissioner shopianida,1.0,True
IDA_ALIAS_000713,IDA_000713,BOUDH(DISTRICT COLLECTOR BOUDH_IDA),boudhdistrict collector boudhida,1.0,True
IDA_ALIAS_000714,IDA_000714,NIWARI(DISTRICT COLLECTOR NIWARI_IDA),niwaridistrict collector niwariida,1.0,True
IDA_ALIAS_000715,IDA_000715,KEKRI(DISTRICT COLLECTOR KEKRI_IDA),kekridistrict collector kekriida,1.0,True
IDA_ALIAS_000716,IDA_000716,GURUGRAM(DC CUM NODAL OFFICER MPLADS_5),gurugramdc cum nodal officer mplads5,1.0,True
IDA_ALIAS_000717,IDA_000717,KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA),kinnaurdeputy commissioner kinnaurida,1.0,True
IDA_ALIAS_000718,IDA_000718,SEPAHIJALA(DISTRICT MAGISTRATE AND COLLECTOR SIPAHIJALA_IDA),sepahijaladistrict magistrate and collector sipahijalaida,1.0,True
IDA_ALIAS_000719,IDA_000719,SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA),shamlidistrict magistrate shamliida,1.0,True
IDA_ALIAS_000720,IDA_000720,CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA),champawatdistrict magistrate champawatida,1.0,True
IDA_ALIAS_000721,IDA_000721,ASHOKNAGAR(DISTRICT COLLECTOR ASHOKNAGAR_IDA),ashoknagardistrict collector ashoknagarida,1.0,True
IDA_ALIAS_000722,IDA_000722,BISHNUPUR(DEPUTY COMMISSIONER BISHNUPUR_IDA),bishnupurdeputy commissioner bishnupurida,1.0,True
IDA_ALIAS_000723,IDA_000723,JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),jayashankar bhupalapallydistrict collector jayashankar bhupalpallyida,1.0,True
IDA_ALIAS_000724,IDA_000724,SANCHOR(DISTRICT COLLECTOR SANCHOR_IDA),sanchordistrict collector sanchorida,1.0,True
IDA_ALIAS_000725,IDA_000725,DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA),dhamtaridistrict collector dhamtariida,1.0,True
IDA_ALIAS_000726,IDA_000726,NORTH TRIPURA(DISTRICT MAGISTRATE AND COLLECTOR NORTH TRIPURA DISTRICT_IDA),north tripuradistrict magistrate and collector north tripura districtida,1.0,True
IDA_ALIAS_000727,IDA_000727,SORENG(DISTRICT COLLECTOR SORENG_IDA),sorengdistrict collector sorengida,1.0,True
IDA_ALIAS_000728,IDA_000728,SERCHHIP(DEPUTY COMMISSIONER SERCHHIP),serchhipdeputy commissioner serchhip,1.0,True
IDA_ALIAS_000729,IDA_000729,WOKHA(DEPUTY COMMISSIONER WOKHA_IDA),wokhadeputy commissioner wokhaida,1.0,True
IDA_ALIAS_000730,IDA_000730,CHURACHANDPUR(DEPUTY COMMISSIONER CHURACHANDPUR MPLADS_IDA),churachandpurdeputy commissioner churachandpur mpladsida,1.0,True
IDA_ALIAS_000731,IDA_000731,KOHIMA(DEPUTY COMMISIONER_7),kohimadeputy commisioner7,1.0,True
IDA_ALIAS_000732,IDA_000732,KAMJONG(DEPUTY COMMISSIONER KAMJONG MPLADS_IDA),kamjongdeputy commissioner kamjong mpladsida,1.0,True
IDA_ALIAS_000733,IDA_000733,TAMENGLONG(DEPUTY COMMISSIONER TAMENGLONG_IDA),tamenglongdeputy commissioner tamenglongida,1.0,True
IDA_ALIAS_000734,IDA_000734,SOUTH SALMARA MANCACHAR(DEPUTY COMMISSIONER SOUTH SALMARA MANKACHAR_IDA),south salmara mancachardeputy commissioner south salmara mankacharida,1.0,True
IDA_ALIAS_000735,IDA_000735,LAHAUL AND SPITI(DEPUTY COMMISSIONER L AND S_IDA),lahaul and spitideputy commissioner l and sida,1.0,True
IDA_ALIAS_000736,IDA_000736,DIBANG VALLEY(DEPUTY COMMISIONER DIBANG VALLEY_IDA),dibang valleydeputy commisioner dibang valleyida,1.0,True
IDA_ALIAS_000737,IDA_000737,LAWNGTLAI(DSC LAWNGTLAI),lawngtlaidsc lawngtlai,1.0,True
IDA_ALIAS_000738,IDA_000738,SOUTH TRIPURA(DISTRICT MAGISTRATE AND COLLECTOR SOUTH TRIPURA DISTRICT_IDA),south tripuradistrict magistrate and collector south tripura districtida,1.0,True
IDA_ALIAS_000739,IDA_000739,REASI(DC REASI_2),reasidc reasi2,1.0,True
IDA_ALIAS_000740,IDA_000740,KURUNG KUMEY(DEPUTY COMMISSIONER KURUNG KUMEY_IDA),kurung kumeydeputy commissioner kurung kumeyida,1.0,True
IDA_ALIAS_000741,IDA_000741,IMPHAL EAST(DEPUTY COMMISSIONER IMPHAL EAST_IDA),imphal eastdeputy commissioner imphal eastida,1.0,True
IDA_ALIAS_000742,IDA_000742,HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA),hingolidistrict collector hingoliida,1.0,True
