canonical_work_id,iso_forest_raw_score,lof_raw_score,ml_anomaly_score,is_ml_anomaly,top_contributing_features
WORK_HASH_10027107173095808603,-0.2061,-0.5772,0.0,False,multivariate_combination
WORK_HASH_10027162476998111064,-0.1527,-0.3933,0.0,False,inactivity_gap_days
WORK_HASH_10027201758066792190,-0.1925,-0.5061,0.0,False,inactivity_gap_days
WORK_HASH_10027476763715641721,-0.1257,-0.3646,0.0,False,inactivity_gap_days
WORK_HASH_10027524763740207636,-0.1659,-0.4917,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10027607646462866856,0.1219,-0.429,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10027611435411307742,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10027699379487544647,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_1002770164859163043,-0.1732,-0.4596,0.0,False,sanction_delay_days
WORK_HASH_10027921552472128613,-0.2175,-0.289,0.0,False,multivariate_combination
WORK_HASH_10028186925009192203,-0.1952,-0.0998,0.0,False,inactivity_gap_days
WORK_HASH_10028230920776765154,-0.1607,-0.5184,0.0,False,inactivity_gap_days
WORK_HASH_1002830135018779679,-0.1468,-0.3379,0.0,False,sanction_delay_days
WORK_HASH_1002833636244079435,-0.22,-0.3325,0.0,False,multivariate_combination
WORK_HASH_10028437820169527955,-0.0046,-0.5143,0.0,False,sanction_delay_days
WORK_HASH_10028631335334159412,-0.1927,-0.4883,0.0,False,inactivity_gap_days
WORK_HASH_10028644835269783652,-0.215,-0.4718,0.0,False,multivariate_combination
WORK_HASH_10028674474307227249,-0.1657,-0.3531,0.0,False,sanction_delay_days
WORK_HASH_10028925460560437720,-0.1152,-0.5267,0.0,False,"sanction_delay_days, inactivity_gap_days"
