source_house,source_file,source_row_number,sr_no,state,work,work_id,ida,honble_members_of_parliament,elected/nominated,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_₹
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11408,11407,Kerala,Construction of footpaths and pedestrian ways,WS/MP842/2024-2025/132554,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Smt. P. T. Usha (2022-28) (2022-2028),Nominated MP,2025-01-23,Biju K,Payment Success,260770.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11409,11408,Punjab,Construction of public libraries and reading rooms,WS/MP140/2024-2025/126948,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,2025-03-28,Sukhpal Kaur Sarpanch,Payment Success,25027.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11410,11409,Punjab,Construction of public libraries and reading rooms,WS/MP140/2024-2025/126948,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,2025-02-25,Sukhpal Kaur Sarpanch,Payment Success,54852.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11411,11410,Punjab,Construction of public libraries and reading rooms,WS/MP140/2024-2025/126948,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,2025-06-19,Sukhpal Kaur Sarpanch,Payment Success,30900.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11412,11411,Uttar Pradesh,Construction of additional rooms and halls in the existing public and community building,WS/MP18302/2024-2025/143299,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,2025-03-25,SHIVI K R PRIVATE LIMITED,Payment Success,2118200.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11413,11412,Uttar Pradesh,Construction of additional rooms and halls in the existing public and community building,WS/MP18302/2024-2025/143299,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,2025-07-09,SHIVI K R PRIVATE LIMITED,Payment Success,881800.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11414,11413,Kerala,Street lights,WS/MP099/2024-2025/152180,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Dr. John Brittas (2021-27) (2021-2027),Elected MP,2025-03-20,RAFEEQUE V P,Payment Success,174176.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11415,11414,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP192/2025-2026/185628,JALGAON(DISTRICT COLLECTOR JALGAON_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-03-24,VIGHNAHARTA CONTRUCTION AND CO,Payment Success,1894628.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11416,11415,Odisha,Construction of road under bridge,WS/MP138/2024-2025/170462,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-04-22,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11417,11416,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2024-2025/170347,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-04-22,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11418,11417,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2025-2026/185714,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-06-05,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11419,11418,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2025-2026/185715,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-06-05,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11420,11419,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2024-2025/170346,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-05-28,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11421,11420,Odisha,Construction of boundary walls of existing public and community buildings,WS/MP138/2025-2026/185711,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-06-02,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11422,11421,Odisha,"Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",WS/MP138/2025-2026/185713,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-06-02,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11423,11422,Odisha,Construction of boundary walls of existing public and community buildings,WS/MP138/2025-2026/185712,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-06-02,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11424,11423,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2025-2026/210975,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-09-24,Hemanta Kumar Behera,Payment Success,1000000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11425,11424,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2025-2026/210974,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-09-06,Hemanta Kumar Behera,Payment Success,1000000.0
